,Employee.Number,Vehicle.Name,Vehicle.Description,Branch.,Home.Address,Domiciled.Work.Location,Distance.,Driving..Duration,Idling..Duration,Stop..Duration,Max.Speed,,,,,,,,Calculations,,,,,,,,EmployeeNumber,Driving Duration,Idling Duration,Stop Duration,Max Speed,Distance,Vehicle Name,Vehicle Description,Branch,Home Address,Domiciled Work Location
1,1,V1857 Tech DS Sth,Utility Ford Ranger 4x2 Well Back Dual Cab,Technology & Digital Solutions,Home - BURPENGARY,Southern Service Centre,29.8,38.45,5.43,7.33,90.7,,,,,,,,0.026701389,0.003773148,0.005092593,,38.45,5.433333333,7.333333333,,1,1437.116667,331.5833333,32077.71667,70.44142857,938.6,V1857 Tech DS Sth,Utility Ford Ranger 4x2 Well Back Dual Cab,Technology & Digital Solutions,Home - BURPENGARY,Southern Service Centre
2,1,V1857 Tech DS Sth,Utility Ford Ranger 4x2 Well Back Dual Cab,Technology & Digital Solutions,Home - BURPENGARY,Southern Service Centre,6,9.85,1.6,2873.17,65.4,,,,,,,,0.006840278,0.001111111,1.99525463,,9.85,1.6,2873.166667,,2,1303.133333,292.8666667,32164.65,67.08947368,882,V1771 ME Nth,Utility Ford Ranger 4x2 Alloy Tray Single Cab SPO,Mechanical and Electrical Services - North,Home - Burpengary East,Southern Service Centre
3,1,V1857 Tech DS Sth,Utility Ford Ranger 4x2 Well Back Dual Cab,Technology & Digital Solutions,Home - BURPENGARY,Southern Service Centre,27.2,53.9,23.63,5.73,74.6,,,,,,,,0.037430556,0.016412037,0.003981481,,53.9,23.63333333,5.733333333,,4,307.2166667,134.4,7844.483333,60.21176471,131.3,V1756 FS Nth,Utility Ford Ranger 4x4 Canopy Single Cab MRO,Field Services North,N/A,N/A
4,1,V1857 Tech DS Sth,Utility Ford Ranger 4x2 Well Back Dual Cab,Technology & Digital Solutions,Home - BURPENGARY,Southern Service Centre,1,3.18,1.37,3.52,58.2,,,,,,,,0.002210648,0.000949074,0.00244213,,3.183333333,1.366666667,3.516666667,,5,115.5666667,95.1,461.8166667,25.26,3,V1829 STP Nth,Utility Ford Ranger 4x4 Alloy Tray 4x4 Dual Cab,Treatment Plants,N/A,"Treatment Plants - Kawana, Maleny, Kenilworth, Landsborough"
5,1,V1857 Tech DS Sth,Utility Ford Ranger 4x2 Well Back Dual Cab,Technology & Digital Solutions,Home - BURPENGARY,Southern Service Centre,9,15.55,4.17,7.73,67.6,,,,,,,,0.010798611,0.002893519,0.00537037,,15.55,4.166666667,7.733333333,,6,426.5,138.55,17278.96667,36.99189189,309.1,V1858 Enviro Sth,Utility Ford Ranger 4x2 Alloy Tray  Dual Cab,Wellbeing & Continuous Improvement,Home - PALMVIEW,Northern Service Centre
6,1,V1857 Tech DS Sth,Utility Ford Ranger 4x2 Well Back Dual Cab,Technology & Digital Solutions,Home - BURPENGARY,Southern Service Centre,2.5,7.23,3.67,2.77,65.4,,,,,,,,0.005023148,0.002546296,0.001921296,,7.233333333,3.666666667,2.766666667,,7,336.75,116.7333333,2952.933333,59.27142857,223.9,V1910 Pri Wks Nth,Utility Ford Ranger Single Cab Chassis 4 x 4,Private Works North,Home - COORAN,Northern Service Centre
7,1,V1857 Tech DS Sth,Utility Ford Ranger 4x2 Well Back Dual Cab,Technology & Digital Solutions,Home - BURPENGARY,Southern Service Centre,2.5,6.35,3.58,16.95,69.6,,,,,,,,0.004409722,0.002488426,0.011770833,,6.35,3.583333333,16.95,,8,2019.85,491.8666667,40337.36667,81.35671642,1592.4,V1702 WACI Enviro N,Utility Ford Ranger 4x2 Canopy Single Cab,Wellbeing & Continuous Improvement,Home - Mount Coolum,Northern Service Centre
8,1,V1857 Tech DS Sth,Utility Ford Ranger 4x2 Well Back Dual Cab,Technology & Digital Solutions,Home - BURPENGARY,Southern Service Centre,2.6,4.78,0.68,1313.67,66.7,,,,,,,,0.003321759,0.000474537,0.912268519,,4.783333333,0.683333333,1313.666667,,9,133.0666667,9.416666667,1235.2,96.6,156.8,V1720 Pool NCC 3,Hatch Toyota Prius - Pool Vehicle Maud St 2,Pool Vehicle,Home - Cotton Tree,Northern Corporate Centre
9,1,V1857 Tech DS Sth,Utility Ford Ranger 4x2 Well Back Dual Cab,Technology & Digital Solutions,Home - BURPENGARY,Southern Service Centre,16.8,24.57,3.33,1199.37,74.8,,,,,,,,0.017060185,0.002314815,0.832893519,,24.56666667,3.333333333,1199.366667,,10,5.75,5.466666667,109.2666667,5.95,0,V1674 Pool Mkting,Van Hyundai iLoad,Pool Vehicle,Home - BURNSIDE,Northern Corporate Centre
10,1,V1857 Tech DS Sth,Utility Ford Ranger 4x2 Well Back Dual Cab,Technology & Digital Solutions,Home - BURPENGARY,Southern Service Centre,5,7.42,0.78,6.23,74.6,,,,,,,,0.005150463,0.000543981,0.004328704,,7.416666667,0.783333333,6.233333333,,11,61.65,18.71666667,1428.55,60.66666667,42.6,V1906 FS Nth,Utility Ford Ranger Single Cab Chassis 4 x 4,Field Services North,Home - Aroona,Northern Service Centre
